snoring range,respiration rate,body temperature,limb movement,blood oxygen,eye movement,hours of sleep,heart rate,body temperature_m,limb movement_m,blood oxygen_m,eye movement_m,hours of sleep_m,heart rate_m
61,20,92,10,90,85,2,60,0,0,0,0,0,0
15,18,36.8,5,98,10,7,70,0,0,0,0,0,0
16,19,36.7,6,97,12,8,72,0,0,0,0,0,0
14,18,36.9,4,99,9,6,68,0,0,0,0,0,0
17,20,37.0,7,96,11,7,71,0,0,0,0,0,0
15,19,36.8,5,98,10,7,70,0,0,0,0,0,0
16,18,36.9,6,97,12,8,69,0,0,0,0,0,0
14,17,36.7,5,99,10,6,68,0,0,0,0,0,0
15,18,36.8,5,98,10,7,70,0,0,0,0,0,0
17,21,37.1,7,95,11,7,72,0,0,0,0,0,0
16,19,36.9,6,97,12,8,71,0,0,0,0,0,0
15,18,36.8,5,98,10,7,70,0,0,0,0,0,0
14,17,36.7,4,99,9,6,68,0,0,0,0,0,0
25,22,37.5,12,92,20,5,90,0,0,0,0,0,0
